2022-06-19 12:34:30,298 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2022-06-19 12:34:30,312 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2022-06-19 12:34:30,462 [main] INFO  marytts.HMMData Loading GV Model Set:
2022-06-19 12:34:30,579 [main] INFO  marytts.Voice Registering voice `dfki-prudence-hsmm': female, locale en_GB
2022-06-19 12:34:30,579 [main] INFO  marytts.Voice New default voice for locale en_GB: dfki-prudence-hsmm (desire 0)
2022-06-19 12:34:30,581 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2022-06-19 12:34:30,622 [main] INFO  marytts.HMMData Loading GV Model Set:
2022-06-19 12:34:30,704 [main] INFO  marytts.Voice Registering voice `dfki-spike-hsmm': male, locale en_GB
2022-06-19 12:34:30,706 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2022-06-19 12:34:30,736 [main] INFO  marytts.HMMData Loading GV Model Set:
2022-06-19 12:34:30,796 [main] INFO  marytts.Voice Registering voice `dfki-poppy-hsmm': female, locale en_GB
2022-06-19 12:34:30,799 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2022-06-19 12:34:30,838 [main] INFO  marytts.HMMData Loading GV Model Set:
2022-06-19 12:34:30,914 [main] INFO  marytts.Voice Registering voice `dfki-obadiah-hsmm': male, locale en_GB
2022-06-19 12:34:30,916 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2022-06-19 12:34:30,941 [main] INFO  marytts.HMMData Loading GV Model Set:
2022-06-19 12:34:30,993 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2022-06-19 12:34:30,993 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2022-06-19 12:34:30,993 [main] INFO  marytts.HMMSynthesizer started.
2022-06-19 12:34:30,993 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2022-06-19 12:34:30,993 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2022-06-19 12:34:30,993 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2022-06-19 12:34:30,994 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2022-06-19 12:34:30,994 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2022-06-19 12:34:30,994 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_AU
2022-06-19 12:34:30,994 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_AU
2022-06-19 12:34:30,994 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2022-06-19 12:34:31,156 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2022-06-19 12:34:31,156 [main] INFO  marytts.SableParser Starting power-on self test.
2022-06-19 12:34:31,156 [main] INFO  marytts.SableParser Power-on self test complete.
2022-06-19 12:34:31,195 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2022-06-19 12:34:31,195 [main] INFO  marytts.SSMLParser Starting power-on self test.
2022-06-19 12:34:31,195 [main] INFO  marytts.SSMLParser Power-on self test complete.
2022-06-19 12:34:31,224 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2022-06-19 12:34:31,224 [main] INFO  marytts.APMLParser Starting power-on self test.
2022-06-19 12:34:31,224 [main] INFO  marytts.APMLParser Power-on self test complete.
2022-06-19 12:34:31,244 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2022-06-19 12:34:31,244 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2022-06-19 12:34:31,244 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2022-06-19 12:34:31,244 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2022-06-19 12:34:31,252 [main] INFO  marytts.JTokeniser Starting power-on self test.
2022-06-19 12:34:31,252 [main] INFO  marytts.JTokeniser Power-on self test complete.
2022-06-19 12:34:31,252 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2022-06-19 12:34:31,252 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2022-06-19 12:34:31,252 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2022-06-19 12:34:31,255 [main] INFO  marytts.Prosody Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.Prosody Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2022-06-19 12:34:31,255 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2022-06-19 12:34:31,255 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2022-06-19 12:34:31,255 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2022-06-19 12:34:31,255 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2022-06-19 12:34:31,255 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2022-06-19 12:34:31,255 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2022-06-19 12:34:31,256 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2022-06-19 12:34:31,256 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2022-06-19 12:34:31,256 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2022-06-19 12:34:31,256 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2022-06-19 12:34:31,256 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2022-06-19 12:34:31,256 [main] INFO  marytts.main Startup complete.
2022-06-19 12:34:31,260 [Thread-1] INFO  marytts.main Shutting down modules...
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.JTokeniser Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.Preprocess Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.JPhonemiser Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.JPhonemiser Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.Prosody Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.SimplePhoneme2AP Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.PronunciationModel Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.OpenNLPPosTagger Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.Synthesis Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.TextToMaryXML Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.SableParser Module shut down.
2022-06-19 12:34:31,261 [Thread-1] INFO  marytts.SSMLParser Module shut down.
2022-06-19 12:34:31,262 [Thread-1] INFO  marytts.APMLParser Module shut down.
